Fecha,Precio €/m2,Variación mensual (%),Variación trimestral (%),Variación anual (%)
2024-03-01,2400,1.7,5.0,13.1
2024-02-01,2359,1.8,3.2,12.8
2024-01-01,2317,1.3,0.7,13.5
2023-12-01,2287,0.0,-0.6,12.9
2023-11-01,2286,-0.7,0.3,12.4
2023-10-01,2302,0.1,2.4,14.1
2023-09-01,2301,1.0,3.3,13.2
2023-08-01,2278,1.4,3.6,12.5
2023-07-01,2247,0.9,4.4,13.0
2023-06-01,2226,1.3,4.9,12.0
2023-05-01,2198,2.1,5.1,11.8
2023-04-01,2153,1.5,5.5,11.4
2023-03-01,2122,1.4,4.7,11.1
2023-02-01,2092,2.5,2.9,11.0
2023-01-01,2042,0.8,1.2,10.2
2022-12-01,2026,-0.3,-0.3,9.5
2022-11-01,2033,0.7,0.4,9.7
2022-10-01,2018,-0.7,1.4,8.7
2022-09-01,2032,0.3,2.2,9.1
2022-08-01,2025,1.8,3.0,9.4
2022-07-01,1989,0.1,3.0,7.3
2022-06-01,1988,1.1,4.0,8.1
2022-05-01,1966,1.7,4.3,7.0
2022-04-01,1932,1.1,4.2,5.7
2022-03-01,1911,1.4,3.3,4.5
2022-02-01,1885,1.7,1.7,3.0
2022-01-01,1854,0.2,-0.1,1.5
2021-12-01,1850,-0.2,-0.6,1.0
2021-11-01,1854,-0.1,0.1,1.3
2021-10-01,1856,-0.3,0.1,1.4
2021-09-01,1861,0.5,1.2,1.7
2021-08-01,1851,-0.2,0.7,1.5
2021-07-01,1854,0.8,1.4,0.7
2021-06-01,1839,0.1,0.6,-1.7
2021-05-01,1838,0.5,0.4,-2.1
2021-04-01,1828,0.0,0.1,-0.2
2021-03-01,1828,-0.1,-0.1,0.2
2021-02-01,1831,0.2,0.0,0.1
2021-01-01,1827,-0.2,-0.2,0.3
2020-12-01,1831,0.0,0.0,1.0
2020-11-01,1830,0.0,0.4,1.5
2020-10-01,1830,0.0,-0.6,1.0
2020-09-01,1830,0.4,-2.2,1.5
2020-08-01,1824,-1.0,-2.9,1.5
2020-07-01,1841,-1.6,0.5,3.0
2020-06-01,1871,-0.4,2.6,4.9
2020-05-01,1878,2.5,2.7,5.4
2020-04-01,1832,0.4,0.6,3.1
2020-03-01,1824,-0.2,0.6,3.2
2020-02-01,1828,0.4,1.4,3.2
2020-01-01,1821,0.5,0.5,3.1
2019-12-01,1813,0.6,0.6,3.8
2019-11-01,1803,-0.5,0.4,3.1
2019-10-01,1812,0.5,1.3,5.3
2019-09-01,1803,0.4,1.1,6.1
2019-08-01,1796,0.5,0.9,7.6
2019-07-01,1788,0.2,0.6,8.1
2019-06-01,1784,0.2,0.9,8.1
2019-05-01,1781,0.2,0.5,9.9
2019-04-01,1778,0.5,0.7,12.1
2019-03-01,1768,-0.2,1.2,14.0
2019-02-01,1771,0.3,1.4,15.2
