Materiales;Periodo;Total
Aluminio;2023M06;143,269
Aluminio;2023M05;145,53
Aluminio;2023M04;148,582
Aluminio;2023M03;146,918
Aluminio;2023M02;151,785
Aluminio;2023M01;153,574
Aluminio;2022M12;154,824
Aluminio;2022M11;157,613
Aluminio;2022M10;159,1
Aluminio;2022M09;166,616
Aluminio;2022M08;168,133
Aluminio;2022M07;172,744
Aluminio;2022M06;175,994
Aluminio;2022M05;182,554
Aluminio;2022M04;178,627
Aluminio;2022M03;167,396
Aluminio;2022M02;158,629
Aluminio;2022M01;151,44
Aluminio;2021M12;146,05
Aluminio;2021M11;146,149
Aluminio;2021M10;142,856
Aluminio;2021M09;134,963
Aluminio;2021M08;130,465
Aluminio;2021M07;123,264
Aluminio;2021M06;118,634
Aluminio;2021M05;114,917
Aluminio;2021M04;110,05
Aluminio;2021M03;107,706
Aluminio;2021M02;105,181
Aluminio;2021M01;104,385
Aluminio;2020M12;102,175
Aluminio;2020M11;101,39
Aluminio;2020M10;101,196
Aluminio;2020M09;99,464
Aluminio;2020M08;100,943
Aluminio;2020M07;98,567
Aluminio;2020M06;98,493
Aluminio;2020M05;98,661
Aluminio;2020M04;101,333
Aluminio;2020M03;102,192
Aluminio;2020M02;103,353
Aluminio;2020M01;105,514
Aluminio;2019M12;105,714
Aluminio;2019M11;105,298
Aluminio;2019M10;104,133
Aluminio;2019M09;103,885
Aluminio;2019M08;104,982
Aluminio;2019M07;106,746
Aluminio;2019M06;106,723
Aluminio;2019M05;106,359
Aluminio;2019M04;106,385
Aluminio;2019M03;107,628
Aluminio;2019M02;107,295
Aluminio;2019M01;108,241
Aluminio;2018M12;106,424
Aluminio;2018M11;108,18
Aluminio;2018M10;109,854
Aluminio;2018M09;108,279
Aluminio;2018M08;112,173
Aluminio;2018M07;113,047
Aluminio;2018M06;112,806
Aluminio;2018M05;108,532
Aluminio;2018M04;106,6
Aluminio;2018M03;106,347
Aluminio;2018M02;107,704
Aluminio;2018M01;108,44
Aluminio;2017M12;107,579
Aluminio;2017M11;106,911
Aluminio;2017M10;105,204
Aluminio;2017M09;104,348
Aluminio;2017M08;102,985
Aluminio;2017M07;104,835
Aluminio;2017M06;104,927
Aluminio;2017M05;106,202
