Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;PERIODO;VALOR
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2024M03;114,674
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2024M02;113,807
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2024M01;113,404
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M12;113,308
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M11;113,280
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M10;113,676
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M09;113,348
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M08;113,149
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M07;112,544
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M06;112,354
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M05;111,719
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M04;111,773
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M03;111,111
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M02;110,703
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M01;109,668
