Barrio,Precio €/m²,Distrito
Aiora,1962.24,CAMINS AL GRAU
Albors,1981.56,CAMINS AL GRAU
Arrancapins,2541.0,EXTRAMURS
Benicalap,1648.92,BENICALAP
Benimaclet,1910.16,BENIMACLET
Beteró,1902.6,POBLATS MARITIMS
Botanic,2616.6,EXTRAMURS
Cami de Vera,1863.96,BENIMACLET
Ciudad de les arts i de les ciencies,3003.0,QUATRE CARRERES
Ciutat Jardi,1975.68,ALGIROS
El Cabanyal-El Canyamelar,2086.56,POBLATS MARITIMS
El Calvari,1656.48,CAMPANAR
El Carme,2374.68,CIUTAT VELLA
El Grau,1827.0,POBLATS MARITIMS
El mercat,3070.2,CIUTAT VELLA
El Pilar,2346.12,CIUTAT VELLA
El Pla del Remei,3780.0,L´EIXAMPLE
Els Orriols,1443.12,RASCANYA
En Corts,2034.48,QUATRE CARRERES
Fonteta de Sant Lluís,1409.52,QUATRE CARRERES
Gran Vía,3837.96,L´EIXAMPLE
La Carrasca,2396.52,ALGIROS
La creu Coberta,1581.72,JESÚS
La Creu del grau,2014.32,CAMINS AL GRAU
La Llum,1582.56,L´OLIVERETA
La Petxina,2447.76,EXTRAMURS
La Roqueta,3400.32,EXTRAMURS
La Xerea,2864.4,CIUTAT VELLA
L´amistat,2026.92,ALGIROS
L´Hort de Senabre,1567.44,JESÚS
L´illa perdida,1918.56,ALGIROS
Malilla,1885.8,QUATRE CARRERES
Marxalenes,1449.0,LA SAIDIA
Mestalla,2465.4,EL PLA DEL REAL
Mont Olivet,2040.36,QUATRE CARRERES
Morvedre,1910.16,LA SAIDIA
Na Rovella,1501.08,QUATRE CARRERES
Nou Benicalap,1904.28,BENICALAP
Nou Campanar,3125.64,CAMPANAR
Nou Moles,1613.64,L´OLIVERETA
Tormos,1392.72,LA SAIDIA
Torrefiel,1584.24,RASCANYA
Tres Forques,1370.04,L´OLIVERETA
Trinitat,1803.48,LA SAIDIA
Vara de Quart,1396.92,PATRAIX
