"Año";"Periodo";"Comunidad Valenciana﻿ ";"España"
"2007";"Enero";"1.510,8";"1.771,34"
"2007";"Febrero";"1.451,73";"1.715,02"
"2007";"Marzo";"1.482,35";"1.778,21"
"2007";"Abril";"1.532,79";"1.773,54"
"2007";"Mayo";"1.534,14";"1.806,79"
"2007";"Junio";"1.604,95";"1.849,96"
"2007";"Julio";"1.622,47";"1.886,68"
"2007";"Agosto";"1.568,12";"1.661,57"
"2007";"Septiembre";"1.651,76";"1.800,59"
"2007";"Octubre";"1.620,66";"1.784,15"
"2007";"Noviembre";"1.629,59";"1.800,89"
"2007";"Diciembre";"1.735,49";"1.852,1"
"2008";"Enero";"1.596,55";"1.790,49"
"2008";"Febrero";"1.654,8";"1.758,3"
"2008";"Marzo";"1.648,57";"1.788,8"
"2008";"Abril";"1.658,35";"1.791,67"
"2008";"Mayo";"1.617,6";"1.765,94"
"2008";"Junio";"1.669,4";"1.806,51"
"2008";"Julio";"1.638,37";"1.799,46"
"2008";"Agosto";"1.669,1";"1.648,27"
"2008";"Septiembre";"1.756,56";"1.744,49"
"2008";"Octubre";"1.591,14";"1.765,74"
"2008";"Noviembre";"1.572,42";"1.687,57"
"2008";"Diciembre";"1.642,85";"1.755,27"
"2009";"Enero";"1.492,83";"1.708,89"
"2009";"Febrero";"1.479,51";"1.677,76"
"2009";"Marzo";"1.506,98";"1.699,88"
"2009";"Abril";"1.538,35";"1.698,65"
"2009";"Mayo";"1.520,91";"1.698,04"
"2009";"Junio";"1.572,21";"1.704,48"
"2009";"Julio";"1.498,48";"1.719,54"
"2009";"Agosto";"1.461,1";"1.570,93"
"2009";"Septiembre";"1.520,53";"1.709,41"
"2009";"Octubre";"1.445,58";"1.654,49"
"2009";"Noviembre";"1.451,12";"1.674,7"
"2009";"Diciembre";"1.447,67";"1.733,15"
"2010";"Enero";"1.407,51";"1.701,22"
"2010";"Febrero";"1.599,67";"1.687,45"
"2010";"Marzo";"1.460,46";"1.668,2"
"2010";"Abril";"1.408,29";"1.678,72"
"2010";"Mayo";"1.439,29";"1.675,8"
"2010";"Junio";"1.529,44";"1.750,51"
"2010";"Julio";"1.427,7";"1.636,3"
"2010";"Agosto";"1.364,95";"1.484,71"
"2010";"Septiembre";"1.349,67";"1.607,28"
"2010";"Octubre";"1.439,66";"1.606,9"
"2010";"Noviembre";"1.394,27";"1.607,69"
"2010";"Diciembre";"1.389,16";"1.657,6"
"2011";"Enero";"1.415,9";"1.589,82"
"2011";"Febrero";"1.271,96";"1.515,44"
"2011";"Marzo";"1.327,8";"1.586,05"
"2011";"Abril";"1.282,87";"1.602,62"
"2011";"Mayo";"1.301,52";"1.522,65"
"2011";"Junio";"1.336,35";"1.540,6"
"2011";"Julio";"1.312,33";"1.575,97"
