Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;PERIODO;VALOR
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2024M03;114,674
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2024M02;113,807
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2024M01;113,404
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M12;113,308
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M11;113,280
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M10;113,676
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M09;113,348
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M08;113,149
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M07;112,544
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M06;112,354
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M05;111,719
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M04;111,773
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M03;111,111
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M02;110,703
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M01;109,668
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2022M12;109,899
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2022M11;109,734
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2022M10;109,866
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2022M09;109,498
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2022M08;110,265
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2022M07;109,986
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2022M06;110,267
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2022M05;108,262
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2022M04;107,375
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2022M03;107,566
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2022M02;104,403
