Distrito,Precio m2 mar 2024,Variación mensual,Variación trimestral,Variación anual,Variación máximo,Precio_Historico,Fecha_Historico
ALGIROS,2444,2.2,7.6,15.8,0.0,2444,2024-03-01
BENICALAP,1960,3.5,8.3,22.8,11.9,2224,2011-04-01
BENIMACLET,2362,0.3,4.4,20.2,0.0,2362,2024-03-01
CAMINS AL GRAU,2458,0.7,2.9,18.3,0.0,2458,2024-03-01
CAMPANAR,3020,2.6,10.4,27.7,0.0,3020,2024-03-01
CIUTAT VELLA,3273,1.2,0.5,5.8,0.0,3273,2024-03-01
EL PLA DEL REAL,3234,3.7,8.0,16.7,0.0,3234,2024-03-01
EXTRAMURS,2783,0.5,4.2,11.2,0.0,2783,2024-03-01
JESUS,1821,2.2,2.2,19.4,0.0,1821,2024-03-01
L'EIXAMPLE,3615,0.4,2.9,11.6,0.4,3629,2024-02-01
L'OLIVERETA,1726,2.6,4.6,12.7,12.0,1961,2010-02-01
LA SAIDIA,2029,1.5,1.5,13.4,6.8,2178,2023-10-01
PATRAIX,2001,4.3,8.0,20.1,0.0,2001,2024-03-01
POBLATS MARITIMS,2231,2.3,2.9,12.9,0.0,2231,2024-03-01
QUATRE CARRERES,2231,0.7,7.4,10.9,0.1,2233,2023-10-01
RASCANYA,1678,0.3,8.2,18.3,0.4,1684,2009-12-01
