Área Geográfica;Periodo;Total
Total Nacional;2023M06;457,57
Total Nacional;2023M05;455,37
Total Nacional;2023M04;455,55
Total Nacional;2023M03;453,26
Total Nacional;2023M02;451,84
Total Nacional;2023M01;448,25
Total Nacional;2022M12;449,05
Total Nacional;2022M11;448,48
Total Nacional;2022M10;448,94
Total Nacional;2022M09;447,66
Total Nacional;2022M08;450,32
Total Nacional;2022M07;449,35
Total Nacional;2022M06;450,33
Total Nacional;2022M05;443,35
Total Nacional;2022M04;440,26
Total Nacional;2022M03;440,92
Total Nacional;2022M02;429,85
Total Nacional;2022M01;426,92
Total Nacional;2021M12;428,32
Total Nacional;2021M11;424,01
Total Nacional;2021M10;422,91
Total Nacional;2021M09;416,4
Total Nacional;2021M08;413,47
Total Nacional;2021M07;411,88
Total Nacional;2021M06;414,54
Total Nacional;2021M05;412,87
Total Nacional;2021M04;411,22
Total Nacional;2021M03;407,14
Total Nacional;2021M02;403,81
Total Nacional;2021M01;405,84
Total Nacional;2020M12;405,81
Total Nacional;2020M11;405,08
Total Nacional;2020M10;404,51
Total Nacional;2020M09;402,72
Total Nacional;2020M08;402,2
Total Nacional;2020M07;402,05
Total Nacional;2020M06;405,14
Total Nacional;2020M05;403,56
Total Nacional;2020M04;403,57
Total Nacional;2020M03;402,54
Total Nacional;2020M02;403,86
Total Nacional;2020M01;404,26
Total Nacional;2019M12;407,64
Total Nacional;2019M11;407,89
Total Nacional;2019M10;407,31
Total Nacional;2019M09;403,98
Total Nacional;2019M08;403,98
Total Nacional;2019M07;404,17
Total Nacional;2019M06;406,31
Total Nacional;2019M05;406,71
Total Nacional;2019M04;406,04
Total Nacional;2019M03;402,59
Total Nacional;2019M02;401,35
Total Nacional;2019M01;400,52
Total Nacional;2018M12;404,92
Total Nacional;2018M11;406,47
Total Nacional;2018M10;406,85
Total Nacional;2018M09;403,68
Total Nacional;2018M08;402,84
Total Nacional;2018M07;402,36
Total Nacional;2018M06;404,82
Total Nacional;2018M05;403,93
Total Nacional;2018M04;400,85
Total Nacional;2018M03;398,06
Total Nacional;2018M02;397,66
Total Nacional;2018M01;397,21
Total Nacional;2017M12;400,88
Total Nacional;2017M11;400,73
Total Nacional;2017M10;399,18
Total Nacional;2017M09;396,07
Total Nacional;2017M08;395,49
Total Nacional;2017M07;394,82
Total Nacional;2017M06;397,15
Total Nacional;2017M05;397
Total Nacional;2017M04;397,2
Total Nacional;2017M03;393,99
Total Nacional;2017M02;394,06
Total Nacional;2017M01;395,27
Total Nacional;2016M12;397,12
Total Nacional;2016M11;395,13
Total Nacional;2016M10;393,92
Total Nacional;2016M09;390,13
Total Nacional;2016M08;390,11
Total Nacional;2016M07;389,69
Total Nacional;2016M06;392,11
Total Nacional;2016M05;390,58
Total Nacional;2016M04;388,77
Total Nacional;2016M03;386,47
Total Nacional;2016M02;384,37
Total Nacional;2016M01;385,53
Total Nacional;2015M12;391,88
Total Nacional;2015M11;392,86
Total Nacional;2015M10;391,64
Total Nacional;2015M09;389,52
Total Nacional;2015M08;390,54
Total Nacional;2015M07;391,65
Total Nacional;2015M06;394,76
Total Nacional;2015M05;393,87
Total Nacional;2015M04;392,28
